curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,75000,11,26,28351600,221343,4555539205,2168330,77847,2069565,5828621,1899283,820,284545056,277808184,660580,621290036,943845755
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.641076257201237e-07,75000,11,30,28351600,221343,4555539205,2168330,60012,2069565,5977008,1465198,608,282400702,272033726,470996,614482974,944119789
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,75000,14,18,28351600,221343,4555539205,428296,136553,425276,1073863,3571230,26723,325872674,138505724,10273518,528804974,827937934
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,75000,14,22,28351600,221343,4555539205,428296,95647,425276,1538890,2355670,3719,336548790,132203000,1758880,523781392,825584818
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,75000,14,26,28351600,221343,4555539205,428296,77847,425276,1888244,1899283,820,381351132,148168422,574474,592047940,838680719
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.641076257201237e-07,75000,14,30,28351600,221343,4555539205,428296,60012,425276,2036631,1465198,608,356648770,137079728,486634,563019856,855782313
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,75000,17,18,28351600,221343,4555539205,162280,136553,162096,162096,3571230,26723,449436426,121420928,10939708,635358980,942100681
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,75000,17,22,28351600,221343,4555539205,162280,95647,162096,627123,2355670,3719,443180662,109973548,1880172,610784916,925054119
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,75000,17,26,28351600,221343,4555539205,162280,77847,162096,976477,1899283,820,447870504,107873822,497736,614118394,946869369
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.641076257201237e-07,75000,17,30,28351600,221343,4555539205,162280,60012,162096,1124864,1465198,608,444946178,106082184,528412,617060936,953381752
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.0241590950480844e-06,75000,20,22,28351600,221343,4555539205,109514,95647,109493,208685,2355670,3719,541828530,110228498,1914898,711707642,1036745022
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,2.2403732739917415e-07,75000,20,26,28351600,221343,4555539205,109514,77847,109493,558039,1899283,820,517457458,104668062,529426,678815460,1058814034
