curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,7.184474038488271e-06,100000,5,14,1376528,9637,331148059,2318573,2394,1104504,2582405,77452,2329,6415406,55497862,1120300,72912802,108389444
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,5.767332528972339e-07,100000,5,18,1376528,9637,331148059,2318573,203,1104504,2587114,6401,194,6621818,54356612,144154,72341844,108226112
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,4.989257607632999e-08,100000,5,22,1376528,9637,331148059,2318573,16,1104504,2587523,561,16,7957888,62931616,73564,83860164,112273867
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,5.475787882410935e-09,100000,5,26,1376528,9637,331148059,2318573,2,1104504,2587555,18,2,9426526,72943650,39702,99433820,113644928
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,6.111525403593106e-05,100000,8,11,1376528,9637,331148059,209612,20433,194178,329742,662720,19796,14769336,38833188,9663040,77465964,78297193
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,7.184474038488271e-06,100000,8,14,1376528,9637,331148059,209612,2394,194178,364601,77452,2329,14036130,29847432,1526718,59381238,61789802
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,5.767332528972339e-07,100000,8,18,1376528,9637,331148059,209612,203,194178,369310,6401,194,14195374,28962724,241730,58670504,61048365
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,4.989257607632999e-08,100000,8,22,1376528,9637,331148059,209612,16,194178,369719,561,16,15656920,31061652,79972,63924326,63940026
td:368,2 8 2 -4 4 0 -7,0.0006261414817250546,5.475787882410935e-09,100000,8,26,1376528,9637,331148059,209612,2,194178,369751,18,2,15055404,29829118,29102,62587192,62834368
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,6.111525403593106e-05,100000,11,11,1376528,9637,331148059,20433,20433,20283,0,662720,19796,18446102,15148794,9405544,55561866,56746468
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,7.184474038488271e-06,100000,11,14,1376528,9637,331148059,20433,2394,20283,34859,77452,2329,18513908,10376968,1522966,43775362,45414717
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,5.767332528972339e-07,100000,11,18,1376528,9637,331148059,20433,203,20283,39568,6401,194,18093812,8985478,180220,41150518,44483655
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,4.989257607632999e-08,100000,11,22,1376528,9637,331148059,20433,16,20283,39977,561,16,17388058,8357180,48616,40138930,45774960
td:368,2 8 2 -4 4 0 -7,6.111525403593106e-05,5.475787882410935e-09,100000,11,26,1376528,9637,331148059,20433,2,20283,40009,18,2,17742076,8649478,23006,42473570,48836439
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,7.184474038488271e-06,100000,14,14,1376528,9637,331148059,2394,2394,2392,0,77452,2329,23587244,5318030,1485674,44097946,47450223
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,5.767332528972339e-07,100000,14,18,1376528,9637,331148059,2394,203,2392,4709,6401,194,24226258,6489328,183716,45548630,48770810
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,4.989257607632999e-08,100000,14,22,1376528,9637,331148059,2394,16,2392,5118,561,16,23722464,5918296,56660,44030652,50747832
td:368,2 8 2 -4 4 0 -7,7.184474038488271e-06,5.475787882410935e-09,100000,14,26,1376528,9637,331148059,2394,2,2392,5150,18,2,23848448,5796042,23194,46200918,52347780
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,5.767332528972339e-07,100000,17,18,1376528,9637,331148059,374,203,374,374,6401,194,26172202,5262406,155936,44450454,54374870
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,4.989257607632999e-08,100000,17,22,1376528,9637,331148059,374,16,374,783,561,16,25430984,4976612,39832,44402866,55386979
td:368,2 8 2 -4 4 0 -7,1.0787047878263078e-06,5.475787882410935e-09,100000,17,26,1376528,9637,331148059,374,2,374,815,18,2,29276440,5134840,29382,50540896,60777701
