pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rand,td:38,4 6 -6 1 -7 -8 -9,7.683722594538931e-07,150000,21,29,8007904,42896,750089926,19744,8375,19741,127404,9243,26,155177564,29626060,66762,213276678,331562279
rand,td:38,4 6 -6 1 -7 -8 -9,4.613888121572128e-07,150000,22,30,8007904,42896,750089926,18760,8372,18758,116038,9188,23,174819148,31491512,77624,237071764,349988930
rand,td:38,4 6 -6 1 -7 -8 -9,2.8084536392178174e-07,150000,23,30,8007904,42896,750089926,18600,8372,18600,97280,9188,23,177216856,30354718,70158,238118144,360741102
rand,td:38,4 6 -6 1 -7 -8 -9,1.7871977704113384e-07,150000,24,30,8007904,42896,750089926,18503,8372,18503,78680,9188,23,174340890,29090564,76190,231913334,360837542
rand,td:38,4 6 -6 1 -7 -8 -9,1.1407645343051096e-07,150000,25,30,8007904,42896,750089926,18462,8372,18462,60177,9188,23,178632434,29318172,70092,236810484,373251915
rand,td:38,4 6 -6 1 -7 -8 -9,7.757198833274747e-08,150000,26,30,8007904,42896,750089926,14659,8372,14659,41715,9188,23,191495732,29469570,66834,250243998,382685882
rand,td:38,4 6 -6 1 -7 -8 -9,6.033376870324803e-08,150000,27,30,8007904,42896,750089926,9736,8372,9736,27056,9188,23,193171752,28760050,61224,251493496,390283798
rand,td:38,4 6 -6 1 -7 -8 -9,4.748160495581058e-08,150000,28,30,8007904,42896,750089926,8945,8372,8945,17320,9188,23,195812048,28319764,64468,252499392,402447321
rand,td:38,4 6 -6 1 -7 -8 -9,3.959538683166211e-08,150000,29,30,8007904,42896,750089926,8375,8372,8375,8375,9188,23,215572488,29671952,81612,276592798,415975901
rand,td:38,4 6 -6 1 -7 -8 -9,3.393890299856752e-08,150000,30,30,8007904,42896,750089926,8372,8372,8372,0,9188,23,211873012,19275674,84360,260432188,404651630
