pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,ex:118,2 -1 -2 1 1 2 1,1.44546584019341e-06,75000,22,30,4456400,27427,769063750,31315,26040,31267,140245,700905,376,88760306,18963956,299388,124232886,190940204
rich,ex:118,2 -1 -2 1 1 2 1,9.645547099967367e-07,75000,23,30,4456400,27427,769063750,29434,26040,29392,108978,700905,376,93256616,18017368,305390,126722414,196205292
rich,ex:118,2 -1 -2 1 1 2 1,6.975499459837991e-07,75000,24,30,4456400,27427,769063750,27338,26040,27305,79586,700905,376,97359354,17719176,309314,130492124,201431837
rich,ex:118,2 -1 -2 1 1 2 1,5.246036783845101e-07,75000,25,30,4456400,27427,769063750,26222,26040,26195,52281,700905,376,100602094,17253984,304426,133975604,206082934
rich,ex:118,2 -1 -2 1 1 2 1,4.080250831879523e-07,75000,26,30,4456400,27427,769063750,26113,26040,26086,26086,700905,376,114062302,18352286,344818,149127068,213800587
rich,ex:118,2 -1 -2 1 1 2 1,3.1886247395853505e-07,75000,27,30,4456400,27427,769063750,26040,26040,26014,0,700905,376,115369518,13293318,339584,144699716,212801222
rich,ex:118,2 -1 -2 1 1 2 1,2.5093910672476425e-07,75000,28,30,4456400,27427,769063750,26040,26040,26014,0,700905,376,112886028,13256004,325726,143019486,209724393
rich,ex:118,2 -1 -2 1 1 2 1,2.1078884964880196e-07,75000,29,30,4456400,27427,769063750,26040,26040,26014,0,700905,376,111805224,13228296,304530,140834962,208159271
rich,ex:118,2 -1 -2 1 1 2 1,2.1078884964880196e-07,75000,30,30,4456400,27427,769063750,26040,26040,26014,0,700905,376,108851430,12891806,303074,137283436,207393456
rich,ex:490,49 -66 -41 3 68 -1 4,0.02047452376601396,75000,6,14,26478656,146596,6216888577,127203240,1769203,25380336,108418613,56293052,1242019,148424474,1759647690,305578236,2253298794,3532109541
rich,ex:490,49 -66 -41 3 68 -1 4,0.01137654058095717,75000,7,15,26478656,146596,6216888577,70729275,1225739,23773984,84746973,38796849,803260,165592154,1510785054,208766408,1924853062,2997656845
rich,ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,75000,8,16,26478656,146596,6216888577,40496932,881605,20070745,62170039,27711297,527497,195751252,1319675002,144563056,1705247458,2625598937
rich,ex:490,49 -66 -41 3 68 -1 4,0.0037237620528293666,75000,9,17,26478656,146596,6216888577,23294235,655223,15098874,42966357,20409144,347645,210232888,1147970252,99487914,1498177812,2349459997
rich,ex:490,49 -66 -41 3 68 -1 4,0.002141416761353084,75000,10,18,26478656,146596,6216888577,13488567,514497,10379701,28514898,15868189,235371,235074172,899953362,70889230,1246366564,1970919294
rich,ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,75000,11,19,26478656,146596,6216888577,7900265,419680,6753321,18644804,12825840,164491,265108864,663849948,53888502,1025572158,1588115846
rich,ex:490,49 -66 -41 3 68 -1 4,0.0007222482269009443,75000,12,20,26478656,146596,6216888577,4701510,356648,4279039,12307920,10795264,116460,293007220,485980454,40145364,860417366,1344348898
rich,ex:490,49 -66 -41 3 68 -1 4,0.0004213979169307147,75000,13,21,26478656,146596,6216888577,2839851,310685,2682613,8383134,9324482,83008,315017198,360815758,30799094,754788780,1171355143
rich,ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,75000,14,22,26478656,146596,6216888577,1769203,275867,1708696,6009399,8221819,59745,352083884,281895462,23732076,701222380,1083359085
rich,ex:490,49 -66 -41 3 68 -1 4,0.0001608874712995228,75000,15,23,26478656,146596,6216888577,1225739,249172,1197050,4575113,7379007,44804,371201752,228026118,18723414,659593934,1034778537
rich,ex:490,49 -66 -41 3 68 -1 4,0.00010588722544986856,75000,16,24,26478656,146596,6216888577,881605,217773,867063,3626007,6423416,33326,396698642,194978510,14500534,648084668,1012308693
rich,ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,75000,17,25,26478656,146596,6216888577,655223,201052,647415,2975780,5919213,27745,426331302,178546092,12695062,663917240,1016560523
rich,ex:490,49 -66 -41 3 68 -1 4,4.729590486497646e-05,75000,18,26,26478656,146596,6216888577,514497,187781,509607,2528615,5521153,23626,468576444,164566226,11067882,689360676,1047085683
rich,ex:490,49 -66 -41 3 68 -1 4,3.312400471518565e-05,75000,19,27,26478656,146596,6216888577,419680,173904,416437,2206131,5118045,21911,478522352,150414426,10304806,688190544,1059033728
rich,ex:490,49 -66 -41 3 68 -1 4,2.3467210221487344e-05,75000,20,28,26478656,146596,6216888577,356648,173904,354253,1789694,5118045,21911,499615660,146100420,10144668,699942634,1079619200
rich,ex:490,49 -66 -41 3 68 -1 4,1.6766281663299406e-05,75000,21,29,26478656,146596,6216888577,310685,173904,308878,1435441,5118045,21911,526511122,140386502,10117886,721555564,1109000894
rich,ex:490,49 -66 -41 3 68 -1 4,1.20556718307387e-05,75000,22,30,26478656,146596,6216888577,275867,173904,274410,1126563,5118045,21911,552976054,136591912,10508300,747166524,1150161681
rich,ex:490,49 -66 -41 3 68 -1 4,9.047451260497662e-06,75000,23,30,26478656,146596,6216888577,249172,173904,247944,852153,5118045,21911,557065454,130148890,10119040,745937270,1163763597
rich,ex:490,49 -66 -41 3 68 -1 4,6.8042815264899776e-06,75000,24,30,26478656,146596,6216888577,217773,173904,216836,604209,5118045,21911,574333598,125543728,10157284,758142810,1184815256
rich,ex:490,49 -66 -41 3 68 -1 4,5.6741586431975245e-06,75000,25,30,26478656,146596,6216888577,201052,173904,200250,387373,5118045,21911,595987796,124208456,10108824,773151042,1206929249
rich,ex:490,49 -66 -41 3 68 -1 4,4.825392530364654e-06,75000,26,30,26478656,146596,6216888577,187781,173904,187123,187123,5118045,21911,643447336,126701840,10534602,825187378,1250143300
rich,ex:490,49 -66 -41 3 68 -1 4,4.482761108090241e-06,75000,27,30,26478656,146596,6216888577,173904,173904,173384,0,5118045,21911,631040438,85846376,9865048,770111106,1203531205
rich,ex:490,49 -66 -41 3 68 -1 4,4.482761108090241e-06,75000,28,30,26478656,146596,6216888577,173904,173904,173384,0,5118045,21911,642332392,86696290,10011716,783172410,1216594271
rich,ex:490,49 -66 -41 3 68 -1 4,4.482761108090241e-06,75000,29,30,26478656,146596,6216888577,173904,173904,173384,0,5118045,21911,641269174,86959028,9983340,782037830,1213994378
rich,ex:490,49 -66 -41 3 68 -1 4,4.482761108090241e-06,75000,30,30,26478656,146596,6216888577,173904,173904,173384,0,5118045,21911,656578276,88842854,10447444,800944456,1216714057
rich,ex:676,4 -4 156 -191 -159 171 144,0.03128705282211323,75000,6,14,26474848,140624,6328125000,197764049,4120822,26060269,136840703,131362184,3131172,154998362,2612492874,717313538,3523550766,5467234592
rich,ex:676,4 -4 156 -191 -159 171 144,0.01809870588209883,75000,7,15,26474848,140624,6328125000,114467174,2735647,25631085,114582095,87292306,2011629,178021118,2173322650,482607702,2872976686,4408642529
rich,ex:676,4 -4 156 -191 -159 171 144,0.010559074389853733,75000,8,16,26474848,140624,6328125000,66834297,1862730,23817741,91543963,59337642,1303336,198487546,1770399832,318595490,2326941800,3635665826
rich,ex:676,4 -4 156 -191 -159 171 144,0.006391345129546519,75000,9,17,26474848,140624,6328125000,40540743,1354791,20308036,69522788,42999773,894523,214332520,1510258808,223860260,1987234278,3157276516
rich,ex:676,4 -4 156 -191 -159 171 144,0.003915095726687444,75000,10,18,26474848,140624,6328125000,24918084,1023155,15854719,50534529,32324554,629536,244630152,1366276380,167585928,1818317568,2820077161
rich,ex:676,4 -4 156 -191 -159 171 144,0.0024147401681120203,75000,11,19,26474848,140624,6328125000,15453897,795040,11546032,35683071,24956740,446126,258259964,1114953530,123314400,1535674208,2395847109
rich,ex:676,4 -4 156 -191 -159 171 144,0.0015092979597276658,75000,12,20,26474848,140624,6328125000,9752051,629883,8080268,24920107,19655399,316689,293119408,852096844,91630360,1277043096,1981319966
rich,ex:676,4 -4 156 -191 -159 171 144,0.0009545326147620501,75000,13,21,26474848,140624,6328125000,6262598,513265,5542553,17462299,15893506,227569,317586292,641829426,69324162,1068466064,1659948039
rich,ex:676,4 -4 156 -191 -159 171 144,0.0006136643412366501,75000,14,22,26474848,140624,6328125000,4120822,440052,3801661,12428018,13544781,174322,331330424,494026880,54725204,919977512,1442312021
rich,ex:676,4 -4 156 -191 -159 171 144,0.000394628883329458,75000,15,23,26474848,140624,6328125000,2735647,386273,2592953,9062668,11827269,137773,372029834,391994788,45643004,854628024,1321911869
